accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_i,quat_j,quat_k,quat_real,distance,top1,top2,top3,top4,btm1,btm2,btm3,btm4,btm5,label,,,,
-10.68359375,2.65234375,-1.2265625,-0.130859375,-0.0234375,0.1015625,0.342468262,0.63458252,-0.16607666,0.672607422,268.6,137.673,183.03,226.667,99.368,136.953,154.49,98.452,80.53,91.329,0,,,,
-9.375,2.578125,-0.078125,-0.162109375,0.185546875,0.27734375,0.322998047,0.633239746,-0.153259277,0.686401367,271.6,147.474,140.584,202.081,160.026,137.133,147.891,306.171,211.231,145.228,0,,,,
-9.375,2.578125,-0.078125,-0.162109375,0.185546875,0.27734375,0.322998047,0.633239746,-0.153259277,0.686401367,270.7,147.474,140.584,202.081,160.026,137.133,147.891,306.171,211.231,145.228,0,,,,
-8.91796875,2.1953125,-0.078125,0.044921875,0.060546875,-0.04296875,0.32421875,0.635681152,-0.151489258,0.683959961,500,138.658,159.27,203.732,239.314,249.557,230.367,199.832,421.617,91.595,0,,,,
-9.796875,2.84375,0.57421875,0.275390625,0.203125,-0.19140625,0.335083008,0.64251709,-0.157897949,0.670776367,500,138.658,159.27,203.732,239.314,249.557,230.367,199.832,421.617,91.595,0,,,,
-9.33984375,2.69140625,-0.65234375,-0.0390625,0.09375,0.2109375,0.336364746,0.634094238,-0.140319824,0.682006836,500,137.918,162.921,215.586,167.848,133.465,139.112,169.357,170.302,86.496,0,,,,
-9.33984375,2.69140625,-0.65234375,-0.0390625,0.09375,0.2109375,0.336364746,0.634094238,-0.140319824,0.682006836,500,137.918,162.921,215.586,167.848,133.465,139.112,169.357,170.302,86.496,0,,,,
-11.1796875,3.95703125,0.265625,-0.037109375,0.083984375,0.1796875,0.329772949,0.633483887,-0.138916016,0.686035156,500,137.239,101.298,169.799,500,77.828,381.063,293.213,285.449,91.803,0,,,,
-9.03125,2.0390625,0.34375,0.02734375,0.025390625,0.095703125,0.317016602,0.638977051,-0.139404297,0.686889648,500,137.239,101.298,169.799,500,77.828,381.063,293.213,285.449,91.803,0,,,,
-8.57421875,1.734375,-1.15234375,0.01171875,-0.095703125,-0.0859375,0.329162598,0.640014648,-0.147827148,0.678405762,500,73.31,143.385,500,186.923,72.414,500,259.039,500,93.026,0,,,,
-8.57421875,1.734375,-1.15234375,0.01171875,-0.095703125,-0.0859375,0.329162598,0.640014648,-0.147827148,0.678405762,500,73.31,143.385,500,186.923,72.414,500,259.039,500,93.026,0,,,,
-9.375,2.42578125,0.2265625,-0.138671875,-0.109375,-0.078125,0.302429199,0.634399414,-0.143066406,0.696838379,500,67.753,116.316,475.144,195.882,75.701,203.123,164.937,500,98.206,0,,,,
-9.375,2.42578125,0.2265625,-0.138671875,-0.109375,-0.078125,0.302429199,0.634399414,-0.143066406,0.696838379,500,67.753,116.316,475.144,195.882,75.701,203.123,164.937,500,98.206,0,,,,
-9.375,2.42578125,0.2265625,-0.138671875,-0.109375,-0.078125,0.302429199,0.634399414,-0.143066406,0.696838379,500,67.753,116.316,475.144,195.882,75.701,203.123,164.937,500,98.206,0,,,,
-8.95703125,2.38671875,0.03515625,0.04296875,0.126953125,0.142578125,0.309082031,0.636779785,-0.135192871,0.69329834,500,94.862,209.78,110.277,111.651,72.692,198.859,193.895,144.534,94.731,0,,,,
-8.95703125,2.38671875,0.03515625,0.04296875,0.126953125,0.142578125,0.309082031,0.636779785,-0.135192871,0.69329834,500,94.862,209.78,110.277,111.651,72.692,198.859,193.895,144.534,94.731,0,,,,
